t,omega,F,S,C,tau_R,IC,kappa
1.6500000000000001,0.4265207132318821,0.5734792867681179,3.7981250504961435,0.9990746988660679,0.53,1.0,-15.28916500918048
1.6600000000000001,0.47960260832513135,0.5203973916748686,3.805559577299528,0.9993751233647675,0.38,1.0,-15.28916500908048
1.67,0.025426769659058508,0.9745732303409415,3.8063712983382825,0.9995550442464813,0.53,1.0,-15.289165008980481
1.68,0.20343395875053097,0.7965660412494691,3.7935235491865815,0.9992057817278405,0.49,1.0,-15.289165008880483
1.69,0.7080787190399364,0.29192128096006364,3.793498266748644,0.9976357796596925,0.49,0.0,-15.473371816320006
1.7,0.5913553934682184,0.4086446065317816,3.790073576255982,0.9992076887078941,0.48,0.0,-15.657578623759528
1.71,1.322996181997422,0.0,3.790588179563507,0.9958964974655502,0.44,0.0,-15.841785431199051
1.72,0.5521186386471386,0.4478813613528614,3.792041294771539,0.993803821230652,0.4,0.0,-16.025992238638572
1.73,0.641281711825672,0.35871828817432805,3.7907041908199113,0.9986281082922124,0.38,0.0,-16.210199046078095
1.74,0.889565534942474,0.11043446505752597,3.7907812420648046,0.9948732154351606,0.38,0.0,-16.39440585351762
1.75,0.5367672674887707,0.4632327325112293,3.789866044828849,0.9892720295753774,0.39,0.0,-16.57861266095714
1.76,0.2162650199507942,0.7837349800492058,3.789737972046909,0.9964510110646371,0.38,1.0,-16.578612660857143
1.77,0.03830749660859134,0.9616925033914087,3.7895716289259904,0.9940379359420543,0.39,1.0,-16.578612660757145
1.78,0.02783983215326323,0.9721601678467368,3.7892995995675642,0.998454607025275,0.38,1.0,-16.578612660657146
1.79,0.009264714957234629,0.9907352850427654,3.788488617830369,0.9983687349952698,0.38,1.0,-16.578612660557148
1.8,0.3179144705324048,0.6820855294675952,3.789490013102304,0.9974330827931569,0.47000000000000003,1.0,-16.578612660457146
1.81,0.4164821426172275,0.5835178573827725,3.792017987011006,0.9980473287352629,0.46,1.0,-16.578612660357148
1.82,0.6472301769304365,0.3527698230695635,3.793051660725832,0.9990694692991483,0.45,0.0,-16.76281946779667
1.83,0.30909058922175087,0.6909094107782492,3.7953922426282176,0.9981639090406889,0.44,1.0,-16.762819467696673
1.84,0.9275095944821924,0.07249040551780761,3.7955380913778956,0.9946022993436852,0.39,0.0,-16.947026275136196
1.85,0.5831739822974328,0.4168260177025672,3.796093750803489,0.9990107144885024,0.38,0.0,-17.13123308257572
1.86,0.9716741720538633,0.028325827946136695,3.79739621593345,0.9994261527351007,0.4,0.0,-17.31543989001524
1.87,0.8853232653485718,0.11467673465142825,3.791556009534687,0.999403923756213,0.38,0.0,-17.499646697454764
1.8800000000000001,0.43574051561753496,0.5642594843824651,3.7947809632713887,0.9990117898736922,0.38,1.0,-17.499646697354766
1.8900000000000001,0.35824048449159956,0.6417595155084004,3.794976109642128,0.9970725201190188,0.54,1.0,-17.499646697254768
1.9000000000000001,0.7484807784118502,0.25151922158814977,3.7939170010566388,0.9985736653605191,0.53,0.0,-17.68385350469429
1.9100000000000001,0.434136575928737,0.565863424071263,3.800439584461939,0.9985457593694713,0.49,1.0,-17.68385350459429
1.92,0.266587510099235,0.733412489900765,3.8013988596362416,0.9804690583401954,0.48,1.0,-17.68385350449429
1.93,0.13857456097042853,0.8614254390295715,3.809639489613871,0.9833084734656902,0.5,1.0,-17.683853504394293
1.94,0.3943848289602046,0.6056151710397955,3.795331166206313,0.9987885830754358,0.5,1.0,-17.683853504294294
1.95,0.19059090735920042,0.8094090926407995,3.802981371252841,0.9975149846365268,0.45,1.0,-17.683853504194296
1.96,0.1588434701813206,0.8411565298186794,3.7956682087955906,0.9776243940340565,0.44,1.0,-17.683853504094294
1.97,0.507332968895687,0.492667031104313,3.795019481966019,0.990931258283504,0.43,0.0,-17.868060311533817
1.98,0.963443381530011,0.03655661846998903,3.7973308250120894,0.9982384065673596,0.42,0.0,-18.05226711897334
1.99,0.6597590913578476,0.3402409086421524,3.7935466992981928,0.9984151846880877,0.41000000000000003,0.0,-18.236473926412863
2.0,0.5700183763727051,0.42998162362729486,3.790564854268112,0.9886875153692259,0.4,0.0,-18.420680733852386
2.0100000000000002,0.43274265930044464,0.5672573406995554,3.791098572038905,0.9806195153964452,0.38,1.0,-18.420680733752388
2.02,0.21301902594687416,0.7869809740531258,3.791809779772993,0.9975514136219991,0.38,1.0,-18.42068073365239
2.0300000000000002,0.5937632097541351,0.4062367902458649,3.7919114619131062,0.9880952733119097,0.38,0.0,-18.604887541091912
2.04,0.4954789728304954,0.5045210271695046,3.7934847776544913,0.9896675434772415,0.38,1.0,-18.604887540991914
2.05,0.38688300293192396,0.6131169970680761,3.790147606538868,0.9988774506306785,0.38,1.0,-18.604887540891916
2.06,0.32128635326844623,0.6787136467315538,3.7922256139348036,0.9976193795038107,0.5,1.0,-18.604887540791914
2.07,0.2668385113312167,0.7331614886687833,3.788967796402297,0.9147899844644566,0.5,1.0,-18.604887540691916
2.08,0.3616085190883692,0.6383914809116308,3.788977379976944,0.905216765822908,0.53,1.0,-18.604887540591918
2.09,0.24181272258511255,0.7581872774148875,3.78508732186079,0.9981632178426925,0.52,1.0,-18.60488754049192
2.1,0.39649823210489477,0.6035017678951052,3.7847764230478935,0.997940313208381,0.51,1.0,-18.60488754039192
2.11,0.03785847172693793,0.9621415282730621,3.7837672279255385,0.9989577593362741,0.5,1.0,-18.60488754029192
2.12,0.17227116056570715,0.8277288394342929,3.7843208927112766,0.9995714413515567,0.44,1.0,-18.60488754019192
2.13,0.05184521907798194,0.9481547809220181,3.7868812662122022,0.9996778919044562,0.51,1.0,-18.604887540091923
2.14,0.23901421832431466,0.7609857816756853,3.7852344999611196,0.9992316801366946,0.43,1.0,-18.604887539991925
2.15,0.6306903693271211,0.3693096306728789,3.7942673335770936,0.9988765603882007,0.41000000000000003,0.0,-18.789094347431448
2.16,0.3142600468268224,0.6857399531731776,3.796316025973212,0.9993589142757421,0.45,1.0,-18.78909434733145
2.17,1.4978004783883856,0.0,3.801995983452452,0.9403128994750842,0.39,0.0,-18.973301154770972
2.18,0.9689073910554878,0.031092608944512157,3.8070090192970953,0.9991175868356768,0.38,0.0,-19.157507962210495
2.19,0.771248428292811,0.22875157170718896,3.801308183470222,0.9993671470762397,0.38,0.0,-19.341714769650018
2.2,0.6290649841402475,0.3709350158597525,3.800766605299537,0.9993347432492017,0.55,0.0,-19.52592157708954
2.21,0.4618476653606461,0.538152334639354,3.8096170275892867,0.9229153831378115,0.54,1.0,-19.52592157698954
2.22,0.13469842037274274,0.8653015796272573,3.8179045463288475,0.9974489709219829,0.53,1.0,-19.52592157688954
2.23,0.1321596454159387,0.8678403545840613,3.820095072280288,0.998649743158798,0.5,1.0,-19.525921576789543
2.24,1.1603246716430036,0.0,3.8095974677325,0.9933254771845764,0.49,0.0,-19.710128384229066
2.25,0.7834771116506001,0.21652288834939992,3.8024758142923005,0.9961424751778821,0.48,0.0,-19.89433519166859
2.2600000000000002,0.9465216109327776,0.053478389067222354,3.7932823909501714,0.9991094558381254,0.46,0.0,-20.07854199910811
2.27,0.5815749130665946,0.4184250869334054,3.7951861009312844,0.9995053365150612,0.38,0.0,-20.262748806547634
2.2800000000000002,0.9015200618297935,0.0984799381702065,3.788991326015894,0.9993969271468475,0.41000000000000003,0.0,-20.446955613987157
2.29,0.6830738463687301,0.31692615363126986,3.7850285259875083,0.9991112514199838,0.38,0.0,-20.63116242142668
2.3000000000000003,0.7401020964953895,0.2598979035046105,3.7843793231815943,0.9991146993629412,0.39,0.0,-20.815369228866203
2.31,0.0997409527400245,0.9002590472599755,3.784109936718634,0.9994951501206761,0.54,1.0,-20.815369228766205
2.32,0.46616722171068675,0.5338327782893133,3.7822025573334837,0.9994200447590917,0.38,1.0,-20.815369228666206
