t,channel,censored,rate
0.0,tau_R,1,1.0
0.005,tau_R,1,1.0
0.01,tau_R,1,1.0
0.015,tau_R,1,1.0
0.02,tau_R,1,1.0
0.025,tau_R,1,1.0
0.030000000000000002,tau_R,1,1.0
0.035,tau_R,1,1.0
0.04,tau_R,1,1.0
0.045,tau_R,1,1.0
0.049999999999999996,tau_R,1,1.0
0.05499999999999999,tau_R,1,1.0
0.05999999999999999,tau_R,1,1.0
0.06499999999999999,tau_R,1,1.0
0.06999999999999999,tau_R,1,1.0
0.075,tau_R,1,1.0
0.08,tau_R,1,1.0
0.085,tau_R,1,1.0
0.09000000000000001,tau_R,1,1.0
0.09500000000000001,tau_R,1,1.0
0.10000000000000002,tau_R,1,1.0
0.10500000000000002,tau_R,1,1.0
0.11000000000000003,tau_R,1,1.0
0.11500000000000003,tau_R,1,1.0
0.12000000000000004,tau_R,1,1.0
0.12500000000000003,tau_R,1,1.0
0.13000000000000003,tau_R,1,1.0
0.13500000000000004,tau_R,1,1.0
0.14000000000000004,tau_R,1,1.0
0.14500000000000005,tau_R,1,1.0
0.15000000000000005,tau_R,1,1.0
0.15500000000000005,tau_R,1,1.0
0.16000000000000006,tau_R,1,1.0
0.16500000000000006,tau_R,1,1.0
0.17000000000000007,tau_R,1,1.0
0.17500000000000007,tau_R,1,1.0
0.18000000000000008,tau_R,1,1.0
0.18500000000000008,tau_R,1,1.0
0.19000000000000009,tau_R,1,1.0
0.1950000000000001,tau_R,1,1.0
0.2000000000000001,tau_R,1,1.0
0.2050000000000001,tau_R,1,1.0
0.2100000000000001,tau_R,1,1.0
0.2150000000000001,tau_R,1,1.0
0.2200000000000001,tau_R,1,1.0
0.22500000000000012,tau_R,1,1.0
0.23000000000000012,tau_R,1,1.0
0.23500000000000013,tau_R,1,1.0
0.24000000000000013,tau_R,1,1.0
0.24500000000000013,tau_R,1,1.0
0.2500000000000001,tau_R,1,1.0
0.2550000000000001,tau_R,1,1.0
0.2600000000000001,tau_R,1,1.0
0.2650000000000001,tau_R,1,1.0
0.27000000000000013,tau_R,1,1.0
0.27500000000000013,tau_R,1,1.0
0.28000000000000014,tau_R,1,1.0
0.28500000000000014,tau_R,1,1.0
0.29000000000000015,tau_R,1,1.0
0.29500000000000015,tau_R,1,1.0
0.30000000000000016,tau_R,1,1.0
0.30500000000000016,tau_R,1,1.0
0.31000000000000016,tau_R,1,1.0
0.31500000000000017,tau_R,1,1.0
0.3200000000000002,tau_R,1,1.0
0.3250000000000002,tau_R,1,1.0
0.3300000000000002,tau_R,1,1.0
0.3350000000000002,tau_R,1,1.0
0.3400000000000002,tau_R,1,1.0
0.3450000000000002,tau_R,1,1.0
0.3500000000000002,tau_R,1,1.0
0.3550000000000002,tau_R,1,1.0
0.3600000000000002,tau_R,1,1.0
0.3650000000000002,tau_R,1,1.0
0.3700000000000002,tau_R,1,1.0
0.3750000000000002,tau_R,1,1.0
0.3800000000000002,tau_R,1,1.0
0.38500000000000023,tau_R,1,1.0
0.39000000000000024,tau_R,1,1.0
0.39500000000000024,tau_R,1,1.0
0.40000000000000024,tau_R,1,1.0
0.40500000000000025,tau_R,1,1.0
0.41000000000000025,tau_R,1,1.0
0.41500000000000026,tau_R,1,1.0
0.42000000000000026,tau_R,1,1.0
0.42500000000000027,tau_R,1,1.0
0.43000000000000027,tau_R,1,1.0
0.4350000000000003,tau_R,1,1.0
