t,omega,F,S,C,tau_R,IC,kappa,kappa_cum
0.0,0.0032201089867730515,0.543707676858384,3.7876948402779385,0.6137301784949541,0.9999908078846773,0.8120424318945612,-0.20820267184334568,-0.0020820267184334567
0.01,0.0032201089867730515,0.543707676858384,3.808349446406579,0.6137301784949541,0.9999908078846773,0.8120424318945612,-0.20820267184334568,-0.004164053436866913
0.02,0.003942981243977406,0.44127603155406137,3.830207238009442,0.08653963372090044,0.9999908078846773,0.7318552921261642,-0.3121724592520748,-0.007285778029387662
0.03,0.003942981243977406,0.44127603155406137,3.8509560903159277,0.7456910327069276,0.9999908078846773,0.7318552921261642,-0.3121724592520748,-0.010407502621908411
0.04,0.004370090581090613,0.38075425652489947,3.8681454520600496,0.6640499440866733,0.9999908078846773,0.6814957318017095,-0.3834652761384238,-0.01424215538329265
0.05,0.004370090581090613,0.38075425652489947,3.878513501163609,0.6461886025415444,0.9999908078846773,0.6814957318017095,-0.3834652761384238,-0.01807680814467689
0.06,0.005718248357168387,0.18971909400873166,3.8908640170576527,0.7289184650446809,0.9999908078846773,0.5186348818271229,-0.6565551273326435,-0.024642359418003325
0.07,0.004978614983078278,0.2945258045650889,3.909963136968281,0.29555975501840837,0.9999908078846773,0.6079310303197442,-0.4976938239753009,-0.02961929765775633
0.08,0.0050099483980439175,0.2900858316432533,3.929751192909853,0.7035015953637022,0.9999908078846773,0.6041225970270525,-0.5039781098807198,-0.03465907875656353
0.09,0.004978614983078278,0.2945258045650889,3.948133107001618,0.6890150361018703,0.9999908078846773,0.6079310303197442,-0.4976938239753009,-0.03963601699631654
0.1,0.004978614983078278,0.2945258045650889,3.960696980509932,0.5543095602268822,0.9999908078846773,0.6079310303197442,-0.4976938239753009,-0.04461295523606955
0.11,0.004978614983078278,0.2945258045650889,3.9793626322646305,0.1889014293824131,0.9999908078846773,0.6079310303197442,-0.4976938239753009,-0.049589893475822565
0.12,0.00164704644084257,0.7666120463930888,3.99729999914002,0.6252610684264643,0.9999908078846773,0.9469869778046884,-0.05446992632901442,-0.05013459273911271
0.13,0.00164704644084257,0.7666120463930888,4.013858768326088,0.5473569393799167,0.9999908078846773,0.9469869778046884,-0.05446992632901442,-0.05067929200240285
0.14,0.00164704644084257,0.7666120463930888,4.031274011172684,0.5352013378963554,0.9999908078846773,0.9469869778046884,-0.05446992632901442,-0.051223991265693
0.15,0.003360526992806534,0.5238103198288198,4.045968522404431,0.5382652366893997,0.9999908078846773,0.7971147672486364,-0.22675659895628592,-0.05349155725525586
0.16,0.0027886142193750407,0.6048508712807552,4.056112012073179,0.46051688681013336,0.9999908078846773,0.8554369962185252,-0.15614282223764664,-0.05505298547763233
0.17,0.0027886142193750407,0.6048508712807552,4.0727693187434,0.5769804981491312,0.9999908078846773,0.8554369962185252,-0.15614282223764664,-0.056614413700008796
0.18,0.0027886142193750407,0.6048508712807552,4.088469375330403,0.26067788904160355,0.9999908078846773,0.8554369962185252,-0.15614282223764664,-0.058175841922385264
0.19,0.0027886142193750407,0.6048508712807552,4.104353004316929,0.5703870774900472,0.9999908078846773,0.8554369962185252,-0.15614282223764664,-0.05973727014476173
0.2,0.0017318206520329227,0.7545994648545652,4.120696722246841,0.5911453486817467,0.9999908078846773,0.9415560286705683,-0.060221412028948935,-0.06033948426505122
0.21,0.0017318206520329227,0.7545994648545652,4.136400384679103,0.2681683064552196,0.9999908078846773,0.9415560286705683,-0.060221412028948935,-0.06094169838534071
0.22,0.0017318206520329227,0.7545994648545652,4.151255575071561,0.36246432754500046,0.9999908078846773,0.9415560286705683,-0.060221412028948935,-0.061543912505630204
0.23,0.0011924069526193515,0.8310348684545176,4.166763742855973,0.4483513943217338,0.9999908078846773,0.9718544624926466,-0.028549205388575683,-0.06182940455951596
0.24,0.0010211464683483884,0.8553026322324966,4.180796067311388,0.03659748340136372,0.9999908078846773,0.97928033586963,-0.020937318027263604,-0.062038777739788595
0.25,0.0010211464683483884,0.8553026322324966,4.195894531326357,0.09941523948268814,0.9999908078846773,0.97928033586963,-0.020937318027263604,-0.062248150920061224
0.26,0.0006947362316064298,0.90155525468471,4.210589321135997,0.23317733891513656,0.9999908078846773,0.9903554420859219,-0.009691357782807492,-0.0623450644978893
0.27,0.0006947362316064298,0.90155525468471,4.224653743090124,0.19505269592209745,0.9999908078846773,0.9903554420859219,-0.009691357782807492,-0.062441978075717365
0.28,0.0006761617113408835,0.9041872808173722,4.238894122451009,0.12562159689380406,0.9999908078846773,0.9908619311064909,-0.009180067064945676,-0.06253377874636681
0.29,0.0006761617113408835,0.9041872808173722,4.253198111494183,0.19432450280495103,0.9999908078846773,0.9908619311064909,-0.009180067064945676,-0.06262557941701627
0.3,0.0010639869144872804,0.8492321027027717,4.266291458247537,0.4180261095829418,0.9999908078846773,0.9775254429622936,-0.022730948625514787,-0.06285288890327143
0.31,0.001874577019071233,0.7343707599794409,4.279937302415125,0.5325538333545321,0.9999908078846773,0.9318728569781319,-0.07055888242282214,-0.06355847772749965
0.32,0.0023670602532123164,0.664585445278113,4.2936601818364455,0.0984810332708598,0.9999908078846773,0.89359473466326,-0.11250291232852652,-0.06468350685078492
0.33,0.0032616668298044438,0.5378188933360126,4.3067372142352705,0.5847175043072729,0.9999908078846773,0.8076622014749217,-0.21361136297573416,-0.06681962048054226
0.34,0.0025037753093490878,0.6452127995604292,4.320068808971731,0.6519198395247658,0.9999908078846773,0.8817259746415929,-0.12587394625435605,-0.06807835994308581
0.35000000000000003,0.003980636791513059,0.43594020679322576,4.3322272583570065,0.6071213068756148,0.9999908078846773,0.727483871230266,-0.31816343656645973,-0.07125999430875041
0.36,0.003980636791513059,0.43594020679322576,4.344738817987663,0.6891259183779683,0.9999908078846773,0.727483871230266,-0.31816343656645973,-0.074441628674415
0.37,0.004462982608938515,0.3675913731063073,4.356854368689722,0.6963183646349356,0.9999908078846773,0.6703598163856717,-0.399940656452204,-0.07844103523893704
0.38,0.002847244116945369,0.5965429623628247,4.369573187188766,0.41300082292392715,0.9999908078846773,0.8497801744673401,-0.16277756945121583,-0.0800688109334492
0.39,0.0032467226508723357,0.5399364968551436,4.381012957460212,0.4394637302919924,0.9999908078846773,0.8092410653222769,-0.21165841456866014,-0.08218539507913579
0.4,0.002847244116945369,0.5965429623628247,4.393331756178033,0.5597221186291682,0.9999908078846773,0.8497801744673401,-0.16277756945121583,-0.08381317077364794
0.41000000000000003,0.002484658922164429,0.6479216087201167,4.4055882686632595,0.36803726799281206,0.9999908078846773,0.883415889163881,-0.12395918228653387,-0.08505276259651329
0.42,0.002484658922164429,0.6479216087201167,4.416727267619216,0.12779278582893416,0.9999908078846773,0.883415889163881,-0.12395918228653387,-0.08629235441937862
0.43,0.0032467226508723357,0.5399364968551436,4.426941268458415,0.48643582293753196,0.9999908078846773,0.8092410653222769,-0.21165841456866014,-0.08840893856506522
0.44,0.001281752303087913,0.818374552392341,4.43817133917396,0.6728430887520798,0.9999908078846773,0.9675503605172261,-0.03298779288330316,-0.08873881649389824
0.45,0.0037200409482536223,0.47286687083171763,4.449198496828781,0.36710579605613064,0.9999908078846773,0.7573957795121251,-0.2778693226636085,-0.09151750972053434
0.46,0.0037200409482536223,0.47286687083171763,4.4635786725256015,0.5689970420163217,0.9999908078846773,0.7573957795121251,-0.2778693226636085,-0.09429620294717042
0.47000000000000003,0.0037200409482536223,0.47286687083171763,4.474989037637583,0.6926465341582284,0.9999908078846773,0.7573957795121251,-0.2778693226636085,-0.0970748961738065
0.48,0.007056761534675715,5.0579735078049026e-05,4.486310201858573,0.6238930177813349,0.9999908078846773,0.3679166566019103,-0.9998988159080852,-0.10707388433288736
