t,tau_R
1.3649999999999929,inf
1.3699999999999928,inf
1.3749999999999927,inf
1.3799999999999926,inf
1.3849999999999925,inf
1.3899999999999924,inf
1.3949999999999922,inf
1.3999999999999921,inf
1.404999999999992,inf
1.409999999999992,inf
1.4149999999999918,inf
1.4199999999999917,inf
1.4249999999999916,inf
1.4299999999999915,inf
1.4349999999999914,inf
1.4399999999999913,inf
1.4449999999999912,inf
1.449999999999991,inf
1.454999999999991,inf
1.4599999999999909,inf
1.4649999999999908,inf
1.4699999999999906,inf
1.4749999999999905,inf
1.4799999999999904,inf
1.4849999999999903,inf
1.4899999999999902,inf
1.4949999999999901,inf
1.49999999999999,inf
1.50499999999999,inf
1.5099999999999898,inf
1.5149999999999897,inf
1.5199999999999896,inf
1.5249999999999895,inf
1.5299999999999894,inf
1.5349999999999893,inf
1.5399999999999892,inf
1.544999999999989,inf
1.549999999999989,inf
1.5549999999999888,inf
1.5599999999999887,inf
1.5649999999999886,inf
1.5699999999999885,inf
1.5749999999999884,inf
1.5799999999999883,inf
1.5849999999999882,inf
1.589999999999988,inf
1.594999999999988,inf
1.5999999999999879,inf
1.6049999999999878,inf
1.6099999999999877,inf
1.6149999999999876,inf
1.6199999999999875,inf
1.6249999999999873,inf
1.6299999999999872,inf
1.6349999999999871,inf
1.639999999999987,inf
1.644999999999987,inf
1.6499999999999868,inf
1.6549999999999867,inf
1.6599999999999866,inf
1.6649999999999865,inf
1.6699999999999864,inf
1.6749999999999863,inf
1.6799999999999862,inf
1.684999999999986,inf
1.689999999999986,inf
1.6949999999999859,inf
1.6999999999999857,inf
1.7049999999999856,inf
1.7099999999999855,inf
1.7149999999999854,inf
1.7199999999999853,inf
1.7249999999999852,inf
1.729999999999985,inf
1.734999999999985,inf
1.739999999999985,inf
1.7449999999999848,inf
1.7499999999999847,inf
1.7549999999999846,inf
1.7599999999999845,inf
1.7649999999999844,inf
1.7699999999999843,inf
1.7749999999999841,inf
1.779999999999984,inf
1.784999999999984,inf
1.7899999999999838,inf
1.7949999999999837,inf
1.7999999999999836,inf
1.8049999999999835,inf
1.8099999999999834,inf
1.8149999999999833,inf
1.8199999999999832,inf
1.824999999999983,inf
1.829999999999983,inf
1.8349999999999829,inf
1.8399999999999828,inf
1.8449999999999827,inf
1.8499999999999825,inf
1.8549999999999824,inf
1.8599999999999823,inf
1.8649999999999822,inf
1.8699999999999821,inf
1.874999999999982,inf
1.879999999999982,inf
1.8849999999999818,inf
1.8899999999999817,inf
1.8949999999999816,inf
1.8999999999999815,inf
1.9049999999999814,inf
1.9099999999999813,inf
1.9149999999999812,inf
1.919999999999981,inf
1.924999999999981,inf
1.9299999999999808,inf
1.9349999999999807,inf
1.9399999999999806,inf
1.9449999999999805,inf
1.9499999999999804,inf
1.9549999999999803,inf
1.9599999999999802,inf
1.96499999999998,inf
1.96999999999998,inf
1.9749999999999799,inf
1.9799999999999798,inf
1.9849999999999797,inf
1.9899999999999796,inf
1.9949999999999795,inf
1.9999999999999793,inf
2.0049999999999795,inf
2.0099999999999794,inf
2.0149999999999793,inf
2.019999999999979,inf
2.024999999999979,inf
2.029999999999979,inf
2.034999999999979,inf
2.0399999999999787,inf
2.0449999999999786,0.05
2.0499999999999785,inf
2.0549999999999784,inf
2.0599999999999783,inf
2.064999999999978,inf
2.069999999999978,inf
2.074999999999978,inf
2.079999999999978,inf
2.0849999999999778,inf
2.0899999999999777,inf
2.0949999999999775,inf
2.0999999999999774,inf
2.1049999999999773,0.05
2.1099999999999772,inf
2.114999999999977,inf
2.119999999999977,inf
2.124999999999977,inf
2.129999999999977,0.05
2.1349999999999767,0.05
2.1399999999999766,inf
2.1449999999999765,inf
2.1499999999999764,inf
2.1549999999999763,0.05
2.159999999999976,inf
2.164999999999976,inf
2.169999999999976,inf
2.174999999999976,0.05
2.1799999999999757,inf
2.1849999999999756,inf
2.1899999999999755,inf
2.1949999999999754,0.05
2.1999999999999753,0.05
2.204999999999975,inf
2.209999999999975,0.05
2.214999999999975,0.05
2.219999999999975,0.05
2.2249999999999748,inf
2.2299999999999747,inf
2.2349999999999746,inf
2.2399999999999745,0.05
2.2449999999999743,inf
2.2499999999999742,0.05
2.254999999999974,0.055
2.259999999999974,0.05
2.264999999999974,0.05
2.269999999999974,inf
2.2749999999999737,0.05
2.2799999999999736,0.05
2.2849999999999735,0.05
2.2899999999999734,0.05
2.2949999999999733,0.05
2.299999999999973,inf
2.304999999999973,0.05
2.309999999999973,inf
2.314999999999973,inf
2.3199999999999728,0.05
2.3249999999999726,0.05
2.3299999999999725,0.05
2.3349999999999724,0.05
2.3399999999999723,0.05
2.344999999999972,0.05
2.349999999999972,0.05
2.354999999999972,0.05
2.359999999999972,0.05
2.364999999999972,inf
2.3699999999999717,0.05
2.3749999999999716,inf
2.3799999999999715,inf
2.3849999999999714,0.05
2.3899999999999713,inf
2.394999999999971,0.05
2.399999999999971,0.05
2.404999999999971,0.05
2.409999999999971,0.05
2.4149999999999707,0.05
2.4199999999999706,0.05
2.4249999999999705,0.05
2.4299999999999704,0.05
2.4349999999999703,0.05
2.43999999999997,0.05
2.44499999999997,0.05
2.44999999999997,0.05
2.45499999999997,0.05
2.4599999999999698,inf
2.4649999999999697,0.05
2.4699999999999696,inf
2.4749999999999694,0.05
2.4799999999999693,0.05
2.4849999999999692,0.05
2.489999999999969,0.05
2.494999999999969,0.05
2.499999999999969,0.05
2.504999999999969,0.05
2.5099999999999687,inf
2.5149999999999686,0.05
2.5199999999999685,0.05
2.5249999999999684,0.05
2.5299999999999683,0.05
2.534999999999968,0.05
2.539999999999968,0.05
2.544999999999968,0.05
2.549999999999968,0.05
2.5549999999999677,0.05
2.5599999999999676,0.05
2.5649999999999675,0.05
2.5699999999999674,0.05
2.5749999999999673,0.05
2.579999999999967,0.05
2.584999999999967,0.05
2.589999999999967,0.05
2.594999999999967,0.05
2.599999999999967,inf
2.6049999999999667,0.05
2.6099999999999666,0.05
2.6149999999999665,0.05
2.6199999999999664,0.05
2.6249999999999662,0.05
2.629999999999966,0.05
2.634999999999966,inf
2.639999999999966,0.05
2.644999999999966,0.05
2.6499999999999657,0.05
2.6549999999999656,0.05
2.6599999999999655,0.05
2.6649999999999654,0.05
2.6699999999999653,0.05
2.674999999999965,0.05
2.679999999999965,0.05
2.684999999999965,0.05
2.689999999999965,0.05
2.6949999999999648,0.05
2.6999999999999647,inf
2.7049999999999645,0.05
2.7099999999999644,0.05
2.7149999999999643,0.05
2.7199999999999642,inf
2.724999999999964,0.05
2.729999999999964,inf
2.734999999999964,inf
2.739999999999964,inf
2.7449999999999637,0.05
2.7499999999999636,0.05
2.7549999999999635,inf
2.7599999999999634,0.05
2.7649999999999633,inf
2.769999999999963,inf
2.774999999999963,inf
2.779999999999963,0.05
2.784999999999963,inf
2.7899999999999627,0.05
2.7949999999999626,inf
2.7999999999999625,inf
2.8049999999999624,inf
2.8099999999999623,inf
2.814999999999962,inf
2.819999999999962,0.05
2.824999999999962,0.05
2.829999999999962,inf
2.8349999999999618,inf
2.8399999999999617,inf
2.8449999999999616,0.05
2.8499999999999615,inf
2.8549999999999613,0.05
2.8599999999999612,inf
2.864999999999961,inf
2.869999999999961,0.05
2.874999999999961,inf
2.879999999999961,inf
2.8849999999999607,0.05
2.8899999999999606,inf
2.8949999999999605,inf
2.8999999999999604,inf
2.9049999999999603,inf
2.90999999999996,inf
2.91499999999996,inf
2.91999999999996,inf
2.92499999999996,inf
2.9299999999999597,inf
2.9349999999999596,inf
2.9399999999999595,inf
2.9449999999999594,0.05
2.9499999999999593,inf
2.954999999999959,inf
2.959999999999959,inf
2.964999999999959,inf
2.969999999999959,inf
2.974999999999959,inf
2.9799999999999587,inf
2.9849999999999586,inf
2.9899999999999585,inf
2.9949999999999584,inf
2.9999999999999583,inf
3.004999999999958,inf
3.009999999999958,inf
3.014999999999958,inf
3.019999999999958,inf
3.0249999999999577,inf
3.0299999999999576,inf
3.0349999999999575,inf
3.0399999999999574,inf
3.0449999999999573,inf
3.049999999999957,inf
3.054999999999957,inf
3.059999999999957,inf
3.064999999999957,inf
3.0699999999999568,inf
3.0749999999999567,inf
3.0799999999999566,inf
3.0849999999999564,inf
3.0899999999999563,inf
3.0949999999999562,inf
3.099999999999956,inf
3.104999999999956,inf
3.109999999999956,inf
3.114999999999956,inf
3.1199999999999557,inf
3.1249999999999556,inf
3.1299999999999555,inf
3.1349999999999554,inf
3.1399999999999553,inf
3.144999999999955,inf
3.149999999999955,inf
3.154999999999955,inf
3.159999999999955,inf
3.1649999999999547,inf
3.1699999999999546,inf
3.1749999999999545,inf
3.1799999999999544,inf
3.1849999999999543,inf
3.189999999999954,inf
3.194999999999954,inf
3.199999999999954,inf
3.204999999999954,inf
3.209999999999954,inf
3.2149999999999537,inf
3.2199999999999536,inf
3.2249999999999535,inf
3.2299999999999534,inf
3.2349999999999532,inf
3.239999999999953,inf
3.244999999999953,inf
3.249999999999953,inf
3.254999999999953,inf
3.2599999999999527,inf
3.2649999999999526,inf
3.2699999999999525,inf
3.2749999999999524,inf
3.2799999999999523,inf
3.284999999999952,inf
3.289999999999952,inf
3.294999999999952,inf
3.299999999999952,inf
3.3049999999999518,inf
3.3099999999999516,inf
3.3149999999999515,inf
3.3199999999999514,inf
3.3249999999999513,inf
3.329999999999951,inf
3.334999999999951,inf
3.339999999999951,inf
3.344999999999951,inf
3.349999999999951,inf
