t,omega,F,S,C,tau_R,IC,kappa,kappa_cum,omega_gate,S_gate,C_gate,regime_gate
0.09,0.9465820571444428,0.0534179428555573,0.6656673900542794,0.5980540601117115,inf,0.3765981877882102,-0.9765764482505934,-0.0439952117883507,0.06858526466233958,0.10014721117074349,0.10624319541315606,Stable
0.095,0.8853283261222671,0.1146716738777329,0.6936458480030081,0.0029447261417087,inf,0.4255910099071122,-0.8542764410196187,-0.0482665939934488,0.06414708276146437,0.10435646729217468,0.0005231251416524911,Stable
0.1,0.8971526564545754,0.1028473435454245,0.7209714089899067,0.26480161667661,inf,0.4159259409548185,-0.8772480370776568,-0.0526528341788371,0.06500382288153676,0.10846749746640452,0.047041516449261536,Stable
0.105,0.9465820571444428,0.0534179428555573,0.7476753906202792,0.0645094917579413,inf,0.3765981877882102,-0.9765764482505934,-0.0575357164200901,0.06858526466233958,0.11248501331199597,0.011459991656209348,Stable
0.11,0.8971526564545754,0.1028473435454245,0.773672139068727,0.2856486153367656,inf,0.4159259409548185,-0.8772480370776568,-0.0619219566054784,0.06500382288153676,0.11639612852586742,0.05074494712577094,Stable
0.115,0.8971526564545754,0.1028473435454245,0.7990584143016736,0.5000068330253116,inf,0.4159259409548185,-0.8772480370776568,-0.0663081967908666,0.06500382288153676,0.12021540028918033,0.0888252872308879,Stable
0.12,0.8971526564545754,0.1028473435454245,0.8239228701875975,0.6385433022264533,inf,0.4159259409548185,-0.8772480370776568,-0.0706944369762549,0.06500382288153676,0.12395616625046652,0.11343603423666238,Stable
0.125,0.8822410496070263,0.1177589503929736,0.8483189914547093,0.661822345162565,inf,0.4281297971676587,-0.8483288416078769,-0.0749360811842943,0.06392339198337972,0.12762647299042157,0.11757151307151986,Stable
0.13,0.8822410496070263,0.1177589503929736,0.8699686049422785,0.4130201660294634,inf,0.4281297971676587,-0.8483288416078769,-0.0791777253923337,0.06392339198337972,0.13088357773386974,0.07337226705031634,Stable
0.135,0.9028302854182132,0.0971697145817866,0.8885541396511928,0.4454923950759761,inf,0.4113188722759702,-0.8883864960322833,-0.0836196578724951,0.06541519945706617,0.13367970309170507,0.07914089836007618,Stable
0.14,0.9028302854182132,0.0971697145817866,0.9041180864739056,0.4059387375196078,inf,0.4113188722759702,-0.8883864960322833,-0.0880615903526565,0.06541519945706617,0.13602124166245788,0.07211426439945841,Stable
0.145,0.9194511244805204,0.0805488755194796,0.9132095585939974,0.3279544269803748,inf,0.3979625088253466,-0.9213974519379924,-0.0926685776123465,0.06661947397018905,0.13738902021352903,0.05826049615945624,Stable
