t,omega,F,S,C,tau_R,IC,kappa,kappa_cum
0.71,0.11768643837518487,0.8823135616248151,0.8764462282122081,0.23761850555830716,0.5400000000000001,0.8127647911115679,-0.2073135088146749,-0.1759106887029918
0.72,0.13221528510254255,0.8677847148974575,0.8818581401619757,0.09878134485519979,0.5400000000000001,0.8615492192842239,-0.1490230809622593,-0.1774009195126144
0.73,0.25639495826939496,0.743605041730605,0.8821100726064294,0.3998742710006845,0.5400000000000001,0.8146136133339876,-0.20504135995236827,-0.1794513331121381
0.74,0.31706730295219715,0.6829326970478029,0.8784495099436548,0.24392060880346844,0.5400000000000001,0.8369309978808019,-0.17801363975047613,-0.18123146950964283
0.75,0.31706730295219715,0.6829326970478029,0.8785830250300788,0.6674402238715106,0.5400000000000001,0.8754430368899191,-0.1330251814682474,-0.18256172132432533
0.76,0.31706730295219715,0.6829326970478029,0.8830173634360123,0.525826514660918,0.5400000000000001,0.8401276571379743,-0.1742014140052156,-0.18430373546437748
0.77,0.22091924160740145,0.7790807583925985,0.8830066554479878,0.19443367783236368,0.5400000000000001,0.8966127241531566,-0.10913124464789611,-0.1853950479108564
0.78,0.22091924160740145,0.7790807583925985,0.8831196722285566,0.36002777898298277,0.5400000000000001,0.9218792537809484,-0.0813410143463313,-0.18620845805431974
0.79,0.15957853829900007,0.840421461701,0.8832721145974378,0.46664935762364324,0.5400000000000001,0.9658963421330348,-0.03469874645477436,-0.1865554455188675
0.8,0.15957853829900007,0.840421461701,0.8795918118713315,0.5589632732373416,0.5400000000000001,0.9545223870247497,-0.046544171424522836,-0.18702088723311272
0.81,0.15957853829900007,0.840421461701,0.8951687673204963,0.29110079020749496,0.5400000000000001,0.9647100327120047,-0.03592769666804041,-0.18738016419979311
0.8200000000000001,0.22031758997251474,0.7796824100274853,0.9198827663551691,0.36192188843932,0.5400000000000001,0.9301007344866927,-0.07246237129677907,-0.1881047879127609
0.8300000000000001,0.15957853829900007,0.840421461701,0.935769925036086,0.5305810714243729,0.5400000000000001,0.9706866601928049,-0.02975155051771083,-0.18840230341793804
0.84,0.1330254191414265,0.8669745808585735,0.9355156939267532,0.17971945975230302,0.5400000000000001,0.9779571017816446,-0.022289462892893325,-0.18862519804686695
0.85,0.22031758997251474,0.7796824100274853,0.9332359026891514,0.3577781670873082,0.5400000000000001,0.9436540714815378,-0.05799561910039295,-0.18920515423787088
0.86,0.1330254191414265,0.8669745808585735,0.93513321988764,0.49513375715828467,0.5400000000000001,0.9794845882145399,-0.020728765851294732,-0.18941244189638384
0.87,0.1330254191414265,0.8669745808585735,0.9325390749191579,0.45771911163378226,0.5400000000000001,0.971053351112135,-0.02937385739939702,-0.1897061804703778
0.88,0.2128092844849484,0.7871907155150516,0.9298198107747321,0.4212594586185713,0.5400000000000001,0.9449117028756836,-0.056663781381207895,-0.19027281828418985
0.89,0.2128092844849484,0.7871907155150516,0.9314996274977468,0.09682532327222002,0.5400000000000001,0.9272185137738536,-0.07556600897037813,-0.1910284783738936
0.9,0.2128092844849484,0.7871907155150516,0.932155790057975,0.4756005523899623,0.5400000000000001,0.9298121214883537,-0.07277272239374032,-0.19175620559783102
0.91,0.25552225752839,0.74447774247161,0.9330417231184164,0.5526719297524476,0.5400000000000001,0.9261893971821711,-0.07667652185883204,-0.19252297081641934
0.92,0.34371160391101824,0.6562883960889818,0.9318743323358188,0.5245942338463943,0.5400000000000001,0.8072419060861437,-0.2141318835330783,-0.19466428965175012
0.93,0.34371160391101824,0.6562883960889818,0.9345106061852856,0.787389357053786,0.5400000000000001,0.6761459470030085,-0.3913463135186271,-0.1985777527869364
0.9400000000000001,0.34371160391101824,0.6562883960889818,0.9313409635725822,0.6847350044374009,0.5400000000000001,0.7968995948408587,-0.227026574448982,-0.20084801853142623
0.9500000000000001,0.17317437728683502,0.826825622713165,0.9278728483169648,0.12488608649709251,0.5400000000000001,0.8308168564025217,-0.18534588578697056,-0.20270147738929592
0.96,0.1562060522492048,0.8437939477507952,0.9284075918370558,0.03720262534823458,0.5400000000000001,0.8028768098851441,-0.21955397669630994,-0.20489701715625902
0.97,0.13640217737944785,0.8635978226205522,0.9262971143597067,0.3922322274392965,0.5400000000000001,0.7630544273228752,-0.27042590381692855,-0.2076012761944283
0.98,0.13640217737944785,0.8635978226205522,0.9244279580195891,0.04735217744814365,0.5400000000000001,0.7852684770209174,-0.24172959799311394,-0.21001857217435946
0.99,0.1562060522492048,0.8437939477507952,0.9201647395303568,0.7391762165159182,0.5400000000000001,0.8579867886059263,-0.1531665658527233,-0.21155023783288665
1.0,0.23629109173936286,0.7637089082606372,0.9190134116527802,0.7924563067208849,0.5400000000000001,0.6117440485920062,-0.49144128885689736,-0.21646465072145563
1.01,0.5285509124268445,0.4714490875731555,0.9190960854523441,0.6574968635321271,0.5400000000000001,0.5371049402842858,-0.6215617654230351,-0.222680268375686
