t,omega,F,S,C,tau_R,IC,kappa,kappa_cum,omega_gate,S_gate,C_gate,regime_gate
0.34,0.2945756099415684,0.7054243900584316,0.9397097170459496,0.4475083356128761,0.58,0.9049814083990724,-0.0998408676487196,-0.0586493580238579,0.021343681742564066,0.14137587161138618,0.0794990264603405,Stable
0.35,0.1826263293281922,0.8173736706718078,0.9405299633571385,0.2193489883346535,0.58,0.9261352611116238,-0.0767349738906999,-0.0594167077627649,0.01323231835713355,0.141499274652854,0.03896694126106865,Stable
0.36,0.1826263293281922,0.8173736706718078,0.9425676271252468,0.4338068288086387,0.58,0.8997092208964758,-0.1056836446400667,-0.0604735442091656,0.01323231835713355,0.1418058336742642,0.0770649791693893,Stable
0.37,0.1826263293281922,0.8173736706718078,0.943716454304808,0.607823343986409,0.58,0.9224243273016532,-0.0807499256164117,-0.0612810434653297,0.01323231835713355,0.14197867049918486,0.10797869058821132,Stable
0.38,0.1826263293281922,0.8173736706718078,0.941835762730063,0.4901347997910402,0.58,0.8503588544529337,-0.1620968251223229,-0.062902011716553,0.01323231835713355,0.1416957273670785,0.08707153882252837,Stable
0.39,0.371105527313431,0.6288944726865691,0.9410594919228266,0.5982499156638954,0.58,0.7259099902418162,-0.3203292384509046,-0.066105304101062,0.026888710404284446,0.1415789402784821,0.10627798878902503,Stable
0.4,0.371105527313431,0.6288944726865691,0.9422842661879272,0.6815071297466245,0.58,0.779720816763349,-0.2488193377711107,-0.0685934974787731,0.026888710404284446,0.1417632030631643,0.1210684785713268,Stable
0.41,0.2029064223846115,0.7970935776153885,0.9416470893798324,0.2968461598352548,0.58,0.8129692785556389,-0.2070619456021555,-0.0706641169347947,0.014701726676415847,0.14166734215528934,0.05273417015366624,Stable
0.42,0.371105527313431,0.6288944726865691,0.9413354168786272,0.3902285937695295,0.58,0.6633670468766998,-0.41042681171138,-0.0747683850519085,0.026888710404284446,0.14162045217350464,0.06932338647765889,Stable
0.43,0.371105527313431,0.6288944726865691,0.9411427433671956,0.628608688727546,0.58,0.7001818494908842,-0.3564151784080276,-0.0783325368359887,0.026888710404284446,0.1415914651521714,0.11167116856026947,Stable
0.44,0.4600371920332349,0.5399628079667651,0.9403058595172236,0.7755154492579622,0.58,0.5145388859526275,-0.664484127046334,-0.0849773781064521,0.03333231633959056,0.14146555905416996,0.13776888230813922,Stable
0.45,0.4600371920332349,0.5399628079667651,0.9402020352402316,0.7529280828323359,0.58,0.652560981454049,-0.4268506706608679,-0.0892458848130608,0.03333231633959056,0.14144993907345899,0.13375627852349453,Stable
0.46,0.6158979198482698,0.3841020801517302,0.9412273777930472,0.6043362294107235,0.58,0.4548757972138907,-0.7877308484674016,-0.0971231932977348,0.044625314328488465,0.14160419809033947,0.10735921114646417,Stable
0.47,0.6158979198482698,0.3841020801517302,0.9411922068870332,0.6573692880801107,0.58,0.4674532365883359,-0.7604559425521359,-0.1047277527232561,0.044625314328488465,0.1415989067568533,0.11678043573361373,Stable
0.48,0.4600371920332349,0.5399628079667651,0.9450635545186742,0.7967430103799793,0.58,0.4651006459677035,-0.7655014323731545,-0.1123827670469877,0.03333231633959056,0.1421813367730656,0.14153991920070694,Stable
0.49,0.6158979198482698,0.3841020801517302,0.9427677416226944,0.729414760985672,0.58,0.520639869305419,-0.6526966867711379,-0.1189097339146991,0.044625314328488465,0.141835940164583,0.12957918047436345,Stable
0.5,0.6158979198482698,0.3841020801517302,0.9458437632857316,0.6587654798220149,0.58,0.4990738692878723,-0.6950011395045168,-0.1258597453097442,0.044625314328488465,0.14229871631323715,0.1170284666090193,Stable
0.51,0.6013765258821934,0.3986234741178066,0.9592571862267087,0.504901941291573,0.58,0.5791439913086793,-0.5462041254081286,-0.1313217865638255,0.04357315657743839,0.14431671647347183,0.08969489414234974,Stable
0.52,0.2347001296046173,0.7652998703953826,0.9600469281513436,0.4792543175044112,0.58,0.8510214084698755,-0.1613179821357385,-0.1329349663851829,0.017005361958558417,0.14443553024214742,0.08513864130896283,Stable
0.53,0.2347001296046173,0.7652998703953826,0.9266500194782826,0.5338997852146439,0.58,0.9165027635322296,-0.0871901854852109,-0.133806868240035,0.017005361958558417,0.13941108813291572,0.0948463073739622,Stable
0.54,0.1499678747418865,0.8500321252581136,0.9139034817255678,0.3754058248779625,0.58,0.97429630771762,-0.0260397939712852,-0.1340672661797479,0.010866027200060645,0.13749341839711435,0.06669014905491379,Stable
0.55,0.1450002696988122,0.8549997303011878,0.9007441609061156,0.1222700893679589,0.58,0.9704012086421412,-0.0300456655388423,-0.1343677228351363,0.010506095904040702,0.1355136469667281,0.021721054774676424,Stable
0.56,0.0944667314108198,0.9055332685891802,0.8950012015853444,0.1885354131769453,0.58,0.9892427338550572,-0.010815533739656,-0.1344758781725328,0.006844653061713974,0.1346496398538134,0.03349296674069359,Stable
0.5700000000000001,0.0944667314108198,0.9055332685891802,0.9030668787748012,0.2262931955704455,0.58,0.9869058400294376,-0.0131806341396713,-0.1346076845139296,0.006844653061713974,0.13586309132942453,0.04020056680689956,Stable
0.58,0.1499678747418865,0.8500321252581136,0.895193063829213,0.7263223465741715,0.58,0.9650766188425964,-0.0355477726687664,-0.1349631622406172,0.010866027200060645,0.13467850482292484,0.12902981878529116,Stable
0.59,0.1986268891648002,0.8013731108351998,0.8884024795647576,0.6674410002809186,0.58,0.8584042090045644,-0.1526801727143478,-0.1364899639677607,0.014391650105349759,0.13365688638935594,0.11856965674031607,Stable
0.6,0.3420648458511757,0.6579351541488243,0.8872640859986425,0.4274146674690475,0.58,0.7191288096395565,-0.3297147723028859,-0.1397871116907895,0.024784547527933253,0.13348561926321378,0.07592942355391909,Stable
0.61,0.3420648458511757,0.6579351541488243,0.8847313734539458,0.6777883219119882,0.5400000000000001,0.635048419521259,-0.4540540160350096,-0.1443276518511396,0.024784547527933253,0.13310458197366315,0.1204078392515211,Stable
0.62,0.3329986616894733,0.6670013383105267,0.8819174709864688,0.6288523823533673,0.5400000000000001,0.7212251201418003,-0.3268039433601547,-0.1475956912847412,0.024127650816745134,0.1326812406941672,0.11171446028126243,Stable
0.63,0.3329986616894733,0.6670013383105267,0.8799537362247156,0.037844150975431,0.5400000000000001,0.6476924246738328,-0.4343393331550846,-0.151939084616292,0.024127650816745134,0.13238580401992575,0.006722943284720224,Stable
0.64,0.3329986616894733,0.6670013383105267,0.879014730385125,0.4686054636603134,0.5400000000000001,0.5839470730586551,-0.5379449114602858,-0.1573185337308949,0.024127650816745134,0.13224453404408937,0.08324689215893902,Stable
0.65,0.3173276894832339,0.682672310516766,0.8773791775894991,0.663740612915567,0.5400000000000001,0.6095356912256592,-0.4950577571648184,-0.1622691113025431,0.022992199570686826,0.13199847113992474,0.11791228978274038,Stable
0.66,0.2982075767118592,0.7017924232881407,0.8771720015804844,0.7373774368263754,0.5400000000000001,0.7914509057240776,-0.2338874158303026,-0.1646079854608461,0.021606838433846254,0.13196730227115588,0.13099373508034245,Stable
0.67,0.1176864383751848,0.8823135616248151,0.8753422413095018,0.4965026749651279,0.5400000000000001,0.8091435065443562,-0.2117789777259333,-0.1667257752381055,0.00852705316164523,0.13169202156642587,0.08820278004570611,Stable
0.68,0.1176864383751848,0.8823135616248151,0.875697130392382,0.3476914446418054,0.5400000000000001,0.8227097521164446,-0.1951517989284063,-0.1686772932273895,0.00852705316164523,0.13174541332401593,0.06176674076865528,Stable
0.6900000000000001,0.1176864383751848,0.8823135616248151,0.8758033988993105,0.223416355164105,0.5400000000000001,0.7892911128983254,-0.2366200491341104,-0.1710434937187306,0.00852705316164523,0.1317614010301334,0.03968950144032349,Stable
0.7000000000000001,0.1176864383751848,0.8823135616248151,0.8763963396225183,0.3943863467335036,0.5400000000000001,0.7562328082145794,-0.2794059896114411,-0.173837553614845,0.00852705316164523,0.13185060678169347,0.07006200358620024,Stable
0.71,0.1176864383751848,0.8823135616248151,0.8764462282122081,0.2376185055583071,0.5400000000000001,0.8127647911115679,-0.2073135088146749,-0.1759106887029918,0.00852705316164523,0.13185811233657166,0.042212487137195775,Stable
0.72,0.1322152851025425,0.8677847148974575,0.8818581401619757,0.0987813448551997,0.5400000000000001,0.8615492192842239,-0.1490230809622593,-0.1774009195126144,0.009579750907723823,0.13267231458978201,0.01754832284336468,Stable
0.73,0.2563949582693949,0.743605041730605,0.8821100726064294,0.3998742710006845,0.5400000000000001,0.8146136133339876,-0.2050413599523682,-0.1794513331121381,0.018577275935320846,0.13271021689969298,0.07103692316156739,Stable
0.74,0.3170673029521971,0.6829326970478029,0.8784495099436548,0.2439206088034684,0.5400000000000001,0.8369309978808019,-0.1780136397504761,-0.1812314695096428,0.022973333082556315,0.13215949870698906,0.04333204409909398,Stable
0.75,0.3170673029521971,0.6829326970478029,0.8785830250300788,0.6674402238715106,0.5400000000000001,0.8754430368899191,-0.1330251814682474,-0.1825617213243253,0.022973333082556315,0.1321795855608058,0.11856951881262365,Stable
