t,omega,F,S,C,tau_R,IC,kappa,kappa_cum,omega_gate,S_gate,C_gate,regime_gate
0.0,0.2393066808474769,0.760693319152523,0.0,0.6137301784949541,0.9999908078846772,0.8821736457213841,-0.1253663537823591,-0.0012536635378235,0.017339132849087713,0.0,0.109028028791596,Stable
0.01,0.2393066808474769,0.760693319152523,0.0264303423018157,0.6137301784949541,0.9999908078846772,0.8821736457213841,-0.1253663537823591,-0.0025073270756471,0.017339132849087713,0.003976347814783503,0.109028028791596,Stable
0.02,0.2930278937812209,0.706972106218779,0.0544003219967733,0.0865396337209004,0.9999908078846772,0.8286392887299779,-0.1879703225972473,-0.0043870303016196,0.021231540886228972,0.00818432841410942,0.015373605547757943,Stable
0.03,0.2930278937812209,0.706972106218779,0.0809512649397036,0.7456910327069276,0.9999908078846772,0.8286392887299779,-0.1879703225972473,-0.0062667335275921,0.021231540886228972,0.012178820151899345,0.13247062998104514,Stable
0.04,0.324769092058474,0.675230907941526,0.1029473616949401,0.6640499440866733,0.9999908078846772,0.7938201788391784,-0.2308983058006577,-0.0085757165855987,0.02353137159621781,0.01548805202894706,0.11796724189200804,Stable
0.05,0.324769092058474,0.675230907941526,0.1162146728749451,0.6461886025415444,0.9999908078846772,0.7938201788391784,-0.2308983058006577,-0.0108846996436052,0.02353137159621781,0.01748407021199728,0.11479420766870424,Stable
0.06,0.4249592297144036,0.5750407702855964,0.1320188165439424,0.7289184650446809,0.9999908078846772,0.6734539928542761,-0.395335581151761,-0.0148380554551228,0.030790718058391037,0.01986174551506836,0.1294910144202251,Stable
0.07,0.3699923920935132,0.6300076079064868,0.1564587053395636,0.2955597550184083,0.9999908078846772,0.7410557214824902,-0.2996794453368192,-0.017834849908491,0.026808057413783715,0.023538636918754192,0.05250564272203052,Stable
0.08,0.3723209764879682,0.6276790235120318,0.18178018030577,0.7035015953637022,0.9999908078846772,0.738256868466152,-0.3034634411429231,-0.0208694843199203,0.026976776623890104,0.027348159720207016,0.12497575462614804,Stable
0.09,0.3699923920935132,0.6300076079064868,0.2053023079407403,0.6890150361018703,0.9999908078846772,0.7410557214824902,-0.2996794453368192,-0.0238662787732885,0.026808057413783715,0.030886977331886126,0.12240224422103255,Stable
0.1,0.3699923920935132,0.6300076079064868,0.2213794713295395,0.5543095602268822,0.9999908078846772,0.7410557214824902,-0.2996794453368192,-0.0268630732266567,0.026808057413783715,0.033305727447906275,0.09847206607971991,Stable
0.11,0.3699923920935132,0.6300076079064868,0.2452646794080942,0.1889014293824131,0.9999908078846772,0.7410557214824902,-0.2996794453368192,-0.0298598676800248,0.026808057413783715,0.036899169177273726,0.033557988841261946,Stable
0.12,0.1224024461838703,0.8775975538161296,0.268217949180322,0.6252610684264643,0.9999908078846772,0.967733713670964,-0.0327983083989971,-0.0301878507640148,0.008868754804167489,0.040352404215196945,0.11107647001788279,Stable
0.13,0.1224024461838703,0.8775975538161296,0.2894071180736308,0.5473569393799167,0.9999908078846772,0.967733713670964,-0.0327983083989971,-0.0305158338480048,0.008868754804167489,0.043540236762496146,0.09723694587145687,Stable
0.14,0.1224024461838703,0.8775975538161296,0.3116922600336374,0.5352013378963554,0.9999908078846772,0.967733713670964,-0.0327983083989971,-0.0308438169319948,0.008868754804167489,0.0468929544277806,0.09507752579571786,Stable
0.15,0.2497420316673161,0.7502579683326838,0.3304958605183936,0.5382652366893997,0.9999908078846772,0.8723728591329816,-0.1365383442522101,-0.0322092003745169,0.018095233487612515,0.04972188697976218,0.09562182173801903,Stable
0.16,0.2072395734876882,0.7927604265123118,0.3434758177448921,0.4605168868101333,0.9999908078846772,0.910265242455818,-0.0940192357299101,-0.033149392731816,0.015015688168695722,0.05167467381710954,0.08180997147195715,Stable
0.17,0.2072395734876882,0.7927604265123118,0.3647910785820272,0.5769804981491312,0.9999908078846772,0.910265242455818,-0.0940192357299101,-0.0340895850891151,0.015015688168695722,0.05488147643371658,0.10249951618585769,Stable
0.18,0.2072395734876882,0.7927604265123118,0.3848814093861076,0.2606778890416035,0.9999908078846772,0.910265242455818,-0.0940192357299101,-0.0350297774464142,0.015015688168695722,0.05790399283092552,0.04630894387735258,Stable
0.19,0.2072395734876882,0.7927604265123118,0.4052066457277868,0.5703870774900472,0.9999908078846772,0.910265242455818,-0.0940192357299101,-0.0359699698037133,0.015015688168695722,0.060961849902517136,0.10132820722527083,Stable
0.2,0.1287025544052869,0.871297445594713,0.4261206276590573,0.5911453486817467,0.9999908078846772,0.9643880766004584,-0.0362614859239041,-0.0363325846629523,0.009325233549465854,0.06410828158324176,0.10501587563144645,Stable
0.21,0.1287025544052869,0.871297445594713,0.4462155726263846,0.2681683064552196,0.9999908078846772,0.9643880766004584,-0.0362614859239041,-0.0366951995221914,0.009325233549465854,0.06713149216434489,0.04763960264898984,Stable
0.22,0.1287025544052869,0.871297445594713,0.4652247836752884,0.3624643275450004,0.9999908078846772,0.9643880766004584,-0.0362614859239041,-0.0370578143814304,0.009325233549465854,0.06999135806967122,0.06439111603801913,Stable
0.23,0.0886153081224585,0.9113846918775416,0.4850695669872117,0.4483513943217338,0.9999908078846772,0.9829563987081252,-0.0171905049778339,-0.0372297194312087,0.006420684096895115,0.0729769327495647,0.07964879427753951,Stable
0.24,0.0758878575238728,0.9241121424761272,0.5030258105648853,0.0365974834013637,0.9999908078846772,0.9874720143922888,-0.0126071123374822,-0.0373557905545836,0.005498507766599799,0.07567838357061205,0.006501475100619715,Stable
0.25,0.0758878575238728,0.9241121424761272,0.5223463228836324,0.0994152394826881,0.9999908078846772,0.9874720143922888,-0.0126071123374822,-0.0374818616779584,0.005498507766599799,0.07858508360732969,0.017660933049149456,Stable
0.26,0.0516302467814379,0.948369753218562,0.5411502798462127,0.2331773389151365,0.9999908078846772,0.9941814705350164,-0.0058355129995686,-0.0375402168079541,0.00374090562287774,0.08141406979008914,0.041423522113791994,Stable
0.27,0.0516302467814379,0.948369753218562,0.5591475964839431,0.1950526959220974,0.9999908078846772,0.9941814705350164,-0.0058355129995686,-0.0375985719379498,0.00374090562287774,0.08412169990199617,0.03465074994197584,Stable
0.28,0.0502498566109994,0.9497501433890004,0.5773700742533932,0.125621596893804,0.9999908078846772,0.9944875929574916,-0.0055276463691331,-0.0376538484016411,0.0036408884881113986,0.0868632046782516,0.022316443875338182,Stable
0.29,0.0502498566109994,0.9497501433890004,0.5956739491536407,0.194324502804951,0.9999908078846772,0.9944875929574916,-0.0055276463691331,-0.0377091248653324,0.0036408884881113986,0.08961695535353778,0.034521387784265466,Stable
0.3,0.0790716022398544,0.9209283977601456,0.6124286446637932,0.4180261095829418,0.9999908078846772,0.9864061105819488,-0.0136871221817185,-0.0378459960871496,0.005729188215605609,0.09213763768592592,0.07426156364514272,Stable
0.31,0.1393116836323127,0.8606883163676873,0.6298903348117594,0.5325538333545321,0.9999908078846772,0.9584038245176922,-0.0424860506714306,-0.0382708565938639,0.010093925423963843,0.09476468476194969,0.09460720152044816,Stable
0.32,0.175911229989108,0.824088770010892,0.6474506019121375,0.0984810332708598,0.9999908078846772,0.934501470461115,-0.0677420678597219,-0.0389482772724611,0.012745771140303395,0.09740656237799579,0.01749497304697019,Stable
0.33,0.2423951072081602,0.7576048927918397,0.664184421014774,0.5847175043072729,0.9999908078846772,0.8793052836593035,-0.1286231223044831,-0.040234508495506,0.01756290694002771,0.09992410393163582,0.10387398099096024,Stable
0.34,0.1860713911638866,0.8139286088361134,0.6812439868142474,0.6519198395247658,0.9999908078846772,0.9270078347751348,-0.0757932509114904,-0.0409924410046209,0.013481932720722921,0.10249065287804243,0.11581235129714773,Stable
0.35,0.2958263158635996,0.7041736841364004,0.6968023555921695,0.6071213068756148,0.9999908078846772,0.8256554536615692,-0.1915777066886647,-0.0429082180715075,0.021434302514455765,0.10483135225246698,0.10785397499655483,Stable
0.36,0.2958263158635996,0.7041736841364004,0.7128125763491409,0.6891259183779683,0.9999908078846772,0.8256554536615692,-0.1915777066886647,-0.0448239951383942,0.021434302514455765,0.10724003109567708,0.1224219422518847,Stable
0.37,0.3316724866183425,0.6683275133816575,0.7283160505009131,0.6963183646349356,0.9999908078846772,0.785984080314152,-0.2408187280883843,-0.047232182419278,0.02403156187489841,0.10957247177544523,0.1236996669997693,Stable
0.38,0.2115967322806404,0.7884032677193595,0.7445914868133134,0.4130008229239271,0.9999908078846772,0.9066359677938344,-0.0980142569545669,-0.0482123249888237,0.015331389154928198,0.11202105132377047,0.07336883078346615,Stable
0.39,0.2412845106808615,0.7587154893191385,0.7592302091518232,0.4394637302919924,0.9999908078846772,0.8803399028881448,-0.1274471814452492,-0.0494867968032762,0.017482437892275382,0.1142233932729308,0.07806991723404628,Stable
0.4,0.2115967322806404,0.7884032677193595,0.7749937664344628,0.5597221186291682,0.9999908078846772,0.9066359677938344,-0.0980142569545669,-0.0504669393728218,0.015331389154928198,0.11659496250341075,0.09943359704886304,Stable
0.41,0.1846507314328815,0.8153492685671184,0.790677620117919,0.368037267992812,0.9999908078846772,0.9280772435652174,-0.0746403022844951,-0.0512133423956668,0.013378997826795129,0.11895454062046415,0.06538113858031594,Stable
0.42,0.1846507314328815,0.8153492685671184,0.8049314651669065,0.1277927858289341,0.9999908078846772,0.9280772435652174,-0.0746403022844951,-0.0519597454185117,0.013378997826795129,0.12109897919661193,0.022702151565828273,Stable
0.43,0.2412845106808615,0.7587154893191385,0.8180016509051234,0.4864358229375319,0.9999908078846772,0.8803399028881448,-0.1274471814452492,-0.0532342172329642,0.017482437892275382,0.12306534058177655,0.08641442243976756,Stable
